DATE,GS1,GS5,GS10
2014-07-01,0.11,1.70,2.54
2014-08-01,0.11,1.63,2.42
2014-09-01,0.11,1.77,2.53
2014-10-01,0.10,1.55,2.30
2014-11-01,0.13,1.62,2.33
2014-12-01,0.21,1.64,2.21
2015-01-01,0.20,1.37,1.88
2015-02-01,0.22,1.47,1.98
2015-03-01,0.25,1.52,2.04
2015-04-01,0.23,1.35,1.94
2015-05-01,0.24,1.54,2.20
2015-06-01,0.28,1.68,2.36
2015-07-01,0.30,1.63,2.32
2015-08-01,0.38,1.54,2.17
2015-09-01,0.37,1.49,2.17
2015-10-01,0.26,1.39,2.07
2015-11-01,0.48,1.67,2.26
2015-12-01,0.65,1.70,2.24
2016-01-01,0.54,1.52,2.09
2016-02-01,0.53,1.22,1.78
2016-03-01,0.66,1.38,1.89
2016-04-01,0.56,1.26,1.81
2016-05-01,0.59,1.30,1.81
2016-06-01,0.55,1.17,1.64
2016-07-01,0.51,1.07,1.50
2016-08-01,0.57,1.13,1.56
2016-09-01,0.59,1.18,1.63
2016-10-01,0.66,1.27,1.76
2016-11-01,0.74,1.60,2.14
2016-12-01,0.87,1.96,2.49
2017-01-01,0.83,1.92,2.43
2017-02-01,0.82,1.90,2.42
2017-03-01,1.01,2.01,2.48
2017-04-01,1.04,1.82,2.30
2017-05-01,1.12,1.84,2.30
2017-06-01,1.20,1.77,2.19
2017-07-01,1.22,1.87,2.32
2017-08-01,1.23,1.78,2.21
2017-09-01,1.28,1.80,2.20
2017-10-01,1.40,1.98,2.36
2017-11-01,1.56,2.05,2.35
2017-12-01,1.70,2.18,2.40
2018-01-01,1.80,2.38,2.58
2018-02-01,1.96,2.60,2.86
2018-03-01,2.06,2.63,2.84
2018-04-01,2.15,2.70,2.87
2018-05-01,2.27,2.82,2.98
2018-06-01,2.33,2.78,2.91
2018-07-01,2.39,2.78,2.89
2018-08-01,2.45,2.77,2.89
2018-09-01,2.56,2.89,3.00
2018-10-01,2.65,3.00,3.15
2018-11-01,2.70,2.95,3.12
2018-12-01,2.66,2.68,2.83
2019-01-01,2.58,2.54,2.71
2019-02-01,2.55,2.49,2.68
2019-03-01,2.49,2.37,2.57
2019-04-01,2.42,2.33,2.53
2019-05-01,2.34,2.19,2.40
2019-06-01,2.00,1.83,2.07
2019-07-01,1.96,1.83,2.06
2019-08-01,1.77,1.49,1.63
2019-09-01,1.80,1.57,1.70
2019-10-01,1.61,1.53,1.71
2019-11-01,1.57,1.64,1.81
2019-12-01,1.55,1.68,1.86
2020-01-01,1.53,1.56,1.76
2020-02-01,1.41,1.32,1.50
2020-03-01,0.33,0.59,0.87
2020-04-01,0.18,0.39,0.66
2020-05-01,0.16,0.34,0.67
2020-06-01,0.18,0.34,0.73
2020-07-01,0.15,0.28,0.62
2020-08-01,0.13,0.27,0.65
2020-09-01,0.13,0.27,0.68
2020-10-01,0.13,0.34,0.79
2020-11-01,0.12,0.39,0.87
2020-12-01,0.10,0.39,0.93
